City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
189,Morondava,MG,-20.2833,44.2833,87.87,70,7,17.09,clear sky
190,Sao Filipe,CV,14.8961,-24.4956,75.76,57,100,12.66,overcast clouds
191,Kabale,UG,-1.2486,29.9899,71.98,62,100,6.62,light rain
192,Muravlenko,RU,63.7898,74.523,-24.05,87,82,10.83,broken clouds
193,Huarmey,PE,-10.0681,-78.1522,72.28,75,97,3.33,overcast clouds
194,Inta,RU,66.0317,60.1659,-4.36,92,100,7.43,light snow
195,Namatanai,PG,-3.6667,152.4333,80.01,81,100,8.34,light rain
196,Poum,NC,-20.2333,164.0167,78.17,91,100,6.85,moderate rain
197,Rabo De Peixe,PT,37.8,-25.5833,62.01,77,20,28.77,light rain
198,Nador,MA,35.174,-2.9287,59.0,58,20,4.61,few clouds
199,Bairiki,KI,1.3292,172.9752,78.8,89,40,6.91,light rain
200,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,5.75,overcast clouds
201,Vila Velha,BR,-20.3297,-40.2925,86.0,54,20,13.8,few clouds
202,Sola,VU,-13.8833,167.55,83.03,79,36,11.03,light rain
203,Tiksi,RU,71.6872,128.8694,-25.64,86,100,4.88,overcast clouds
204,Port Elizabeth,ZA,-33.918,25.5701,73.4,78,40,24.16,scattered clouds
205,Douentza,ML,14.9951,-2.9517,91.44,11,6,12.84,clear sky
206,Riyadh,SA,24.6877,46.7219,71.6,20,0,10.36,clear sky
207,Okitipupa,NG,6.5047,4.7839,98.13,34,6,1.63,clear sky
208,Quatre Cocos,MU,-20.2078,57.7625,86.0,74,75,16.11,broken clouds
209,Valparaiso,CL,-33.0393,-71.6273,61.0,100,90,8.05,fog
210,Acapulco,MX,16.8634,-99.8901,73.4,94,40,4.61,scattered clouds
211,Laguna,US,38.421,-121.4238,54.0,24,1,20.71,clear sky
212,Avera,US,33.194,-82.5271,28.4,74,1,3.02,haze
213,Thinadhoo,MV,0.5333,72.9333,81.63,65,53,5.99,broken clouds
214,Nanortalik,GL,60.1432,-45.2371,29.34,84,56,11.07,broken clouds
215,Stepnyak,KZ,52.8339,70.7803,-4.88,89,95,6.29,overcast clouds
216,Smoky Lake,CA,54.1169,-112.4686,21.2,79,100,4.61,overcast clouds
217,Mehriz,IR,31.5917,54.4318,62.6,9,0,6.91,clear sky
218,Haimen,CN,23.1935,116.6142,62.6,59,75,6.71,broken clouds
219,Yenagoa,NG,4.9247,6.2642,94.68,35,7,3.91,clear sky
220,Port Augusta,AU,-32.5,137.7667,73.99,77,0,8.05,clear sky
221,Boende,CD,-0.2167,20.8667,91.49,45,100,1.79,overcast clouds
222,Dzaoudzi,YT,-12.7887,45.2699,86.0,74,75,14.97,moderate rain
223,Sept-Iles,CA,50.2001,-66.3821,8.6,72,0,10.36,clear sky
224,Hauterive,FR,46.0901,3.4459,48.2,43,0,5.75,clear sky
225,Toguchin,RU,55.2353,84.3858,-8.5,89,98,11.5,overcast clouds
226,Chama,CH,47.1821,8.4636,37.99,75,0,3.44,clear sky
227,Saint-Georges,GD,12.0564,-61.7485,80.6,74,40,20.71,light rain
228,Port Lincoln,AU,-34.7333,135.8667,63.25,73,2,15.99,heavy intensity rain
229,Amuntai,ID,-2.4177,115.2494,76.32,89,100,3.87,moderate rain
230,Kingaroy,AU,-26.5333,151.8333,71.6,73,40,8.05,scattered clouds
231,Smithers,CA,54.7804,-127.1743,33.8,93,90,8.05,light snow
232,Pangnirtung,CA,66.1451,-65.7125,28.4,54,75,16.11,snow
233,Camacupa,AO,-12.0167,17.4833,79.81,45,100,4.94,overcast clouds
234,Broome,US,42.2506,-75.833,30.0,80,90,5.75,overcast clouds
235,Mufumbwe,ZM,-13.6833,24.8,75.92,85,100,7.47,moderate rain
236,Strathmore,CA,51.0501,-113.3852,19.99,85,91,6.91,overcast clouds
237,Sande,DE,53.5049,8.0142,46.0,93,75,11.5,mist
238,Pyshma,RU,56.9523,63.2513,-0.83,91,100,4.88,overcast clouds
239,Kavieng,PG,-2.5744,150.7967,82.04,78,100,11.01,light rain
240,Lisbon,PT,38.7167,-9.1333,55.99,100,75,3.44,mist
241,Chuy,UY,-33.6971,-53.4616,73.94,49,0,5.64,clear sky
242,Biograd Na Moru,HR,43.9433,15.4519,48.2,53,75,3.44,broken clouds
243,Cidreira,BR,-30.1811,-50.2056,75.04,56,0,7.58,clear sky
244,Bilma,NE,18.6853,12.9164,76.26,18,0,8.05,clear sky
245,Nyurba,RU,63.2842,118.3319,-47.52,76,100,9.06,overcast clouds
246,Solnechnyy,RU,50.7214,136.6319,-14.78,82,0,2.37,clear sky
247,Nitra,SK,48.3076,18.0845,39.0,80,100,1.14,mist
248,Lyuban,BY,52.7985,28.0048,2.84,93,91,2.77,overcast clouds
249,Kapoeta,SS,4.7717,33.5903,95.92,21,9,5.61,clear sky
250,Komsomolskiy,UZ,40.4272,71.7189,48.2,49,100,2.3,haze
251,Rocha,UY,-34.4833,-54.3333,79.61,33,0,6.6,clear sky
252,Holme,DK,56.1138,10.1725,37.4,100,90,6.91,overcast clouds
253,Ulaanbaatar,MN,47.9077,106.8832,-5.8,77,99,2.24,overcast clouds
254,Miyako,JP,39.6367,141.9525,17.38,86,0,9.55,clear sky
255,Saldanha,ZA,-33.0117,17.9442,77.0,72,40,23.02,scattered clouds
256,Atambua,ID,-9.1061,124.8925,74.21,90,100,0.81,overcast clouds
