City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
268,Ikungi,TZ,73.36,light rain,-5.1333,34.7667,HADEE NIGHT PARK LODGE
272,Tondi,IN,80.01,clear sky,9.7333,79.0167,Amal Apartments
276,Sao Sebastiao,BR,83.55,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
279,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
280,Yulara,AU,82.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
283,Inongo,CD,83.3,light rain,-1.95,18.2667,Hotel Du Lac
285,Islamkot,PK,73.96,clear sky,24.6997,70.17699999999999,Haji Hotel
291,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
293,Mount Isa,AU,86.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
295,Cozumel,MX,72.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
296,Nouadhibou,MR,69.8,overcast clouds,20.930999999999997,-17.0347,El Medina
297,Carutapera,BR,84.74,few clouds,-1.195,-46.02,Lidera
299,Cockburn Town,TC,78.01,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
300,Ulladulla,AU,62.01,overcast clouds,-35.35,150.4667,Sandpiper Motel
302,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
303,Sulangan,PH,78.48,overcast clouds,11.1373,123.7228,Maia's Beach Resort
307,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
311,Bengkulu,ID,79.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
320,Kirakira,SB,81.86,light rain,-10.4544,161.9205,SanBiz Lodge
322,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Beach Rotana
333,Ribeira Grande,PT,60.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
334,Taltal,CL,69.21,few clouds,-25.4,-70.4833,Residencial Karime
337,Mumbwa,ZM,75.87,broken clouds,-14.9783,27.0619,Mumbwa Motel
338,Atar,MR,78.91,scattered clouds,20.5169,-13.0499,Oumou Elghoura
340,Bam,IR,65.05,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
342,Samarai,PG,84.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
347,Sechura,PE,72.93,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
349,Kidal,ML,83.43,clear sky,18.4411,1.4078,
350,Kindu,CD,86.58,overcast clouds,-2.95,25.95,Résidence Okanda
351,Labuhan,ID,78.46,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
352,Braganca,BR,80.69,scattered clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
358,Cravo Norte,CO,79.7,clear sky,6.3017,-70.2041,Hotel Potosí Los Mirtos
359,Puerto Rondon,CO,78.46,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
360,Chiredzi,ZW,68.83,light rain,-21.05,31.6667,The Nesbitt Arms
366,Tarauaca,BR,69.58,light rain,-8.1614,-70.7656,Flat Temporada
367,Dwarka,IN,71.51,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
371,Richards Bay,ZA,87.4,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
373,Arecibo,PR,78.01,overcast clouds,18.4724,-66.7157,Atlantic Sand Oasis
375,Bandar,ID,75.6,overcast clouds,2.05,99.75,
377,Los Pozos,VE,77.86,overcast clouds,8.4518,-62.7268,
379,Marsh Harbour,BS,68.45,clear sky,26.5412,-77.0636,Abaco Beach Resort
380,Poya,NC,79.81,light rain,-21.35,165.15,
381,Torres,BR,75.0,few clouds,-29.3353,-49.7269,Farol Hotel
384,Daru,PG,81.54,overcast clouds,-9.0763,143.2092,Daru Lodge
387,Sibolga,ID,78.35,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
390,Tura,IN,60.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
391,Muli,MV,82.62,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
393,Mounana,GA,80.6,light rain,-1.4085,13.1586,
394,Whitianga,NZ,66.0,light rain,-36.8333,175.7,Beachside Resort Whitianga
397,Itarema,BR,81.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
401,Djougou,BJ,87.8,clear sky,9.7085,1.666,Hotel cathas
403,Lahaina,US,69.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
405,Kathu,TH,80.6,few clouds,7.9178,98.3332,Novotel Phuket Resort
406,Vryburg,ZA,85.84,overcast clouds,-26.9566,24.7284,Times Premier Lodge
407,Biak,ID,78.85,light rain,-0.9131,122.8766,Penginapan Kim
408,Lere,NG,88.12,clear sky,10.387,8.5726,
409,Maraa,BR,73.44,overcast clouds,-1.8333,-65.3667,
411,Axim,GH,83.5,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
413,Faya,SA,77.0,few clouds,18.3851,42.4509,مقبرة ال مجمل
414,Mitu,CO,75.07,overcast clouds,1.1983,-70.1733,
415,Kandrian,PG,79.72,overcast clouds,-6.2167,149.55,Kandrian Station
416,Rio Grande,BR,73.99,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
419,Akyab,MM,70.79,clear sky,20.15,92.9,Hotel Memory
421,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
425,Namibe,AO,78.8,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
427,Bosaso,SO,76.8,few clouds,11.2842,49.1816,Red Sea Hotel
428,Amapa,BR,74.88,overcast clouds,1.0,-52.0,
431,Biu,NG,86.63,clear sky,10.6129,12.1946,Emir's Palace
432,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
434,Manacapuru,BR,78.8,scattered clouds,-3.2997,-60.6206,Novo Hotel
436,Gamba,GA,79.27,overcast clouds,-2.65,10.0,
437,Tanete,ID,75.38,light rain,-3.9443,119.7848,Wisma Tri Multi
440,Makakilo City,US,69.8,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
441,Puerto Madryn,AR,75.38,clear sky,-42.7692,-65.0385,Hotel Tolosa
442,Placido De Castro,BR,72.01,broken clouds,-10.3353,-67.1856,Hotel Carioca
443,Edd,ER,81.45,clear sky,13.9297,41.6925,
448,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
449,Bandarbeyla,SO,75.88,overcast clouds,9.4942,50.8122,JABIR HOTEL
451,Ixtapa,MX,62.6,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
453,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
454,Kamina,CD,79.77,few clouds,-8.7386,24.9906,Guest House la Grace
455,Lucapa,AO,78.19,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
458,Farafangana,MG,84.52,broken clouds,-22.8167,47.8333,Miarina
463,Hambantota,LK,80.6,light rain,6.1241,81.1185,Bungalow 63
467,Elat,IL,69.8,clear sky,29.5581,34.9482,Club Hotel Eilat
470,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
474,Gimbi,ET,83.52,few clouds,9.1667,35.8333,Sam home
477,Tessalit,ML,82.27,broken clouds,20.1986,1.0114,
478,Si Bun Ruang,TH,70.0,clear sky,16.9667,102.2833,รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
480,Nelson Bay,AU,68.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
482,Campos Belos,BR,79.52,light rain,-13.0367,-46.7717,Pousada Carnaúba
484,Bonga,ET,86.0,broken clouds,7.2833,36.2333,Noona Noona Hotel
486,Dafeng,CN,60.67,clear sky,23.4517,108.5881,Shenglong Hotel
490,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
491,Sabang,ID,80.62,moderate rain,5.8933,95.3214,Hotel Citra
492,Pauini,BR,72.37,light rain,-7.7136,-66.9764,Casa do Kiwliks
494,Kutum,SD,79.65,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
495,Cavalcante,BR,77.58,light rain,-13.7975,-47.4583,Pousada Vila dos Ipês
497,Young,UY,80.01,clear sky,-32.6833,-57.6333,Posada Gira el Sol
498,Garowe,SO,89.46,overcast clouds,8.4054,48.4845,Curubo Hotel
502,Mpongwe,ZM,77.85,broken clouds,-13.5091,28.155,GCMF Office & Lodge
503,Yanam,IN,82.4,haze,16.7333,82.2167,The Regency Hotel
505,Coquimbo,CL,60.8,overcast clouds,-29.9533,-71.3436,Hotel San Juan
