City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,South Venice,US,2021-01-16 21:28:44,27.0531,-82.4243,64.4,52,90,14.97
151,San Cristobal,VE,2021-01-16 21:24:38,7.7669,-72.225,86.0,54,40,10.36
152,Vangaindrano,MG,2021-01-16 21:28:44,-23.35,47.6,78.69,88,61,7.0
153,Pacific Grove,US,2021-01-16 21:28:44,36.6177,-121.9166,73.99,63,1,4.61
154,Saldanha,ZA,2021-01-16 21:28:44,-33.0117,17.9442,64.4,82,0,5.75
155,Raga,SS,2021-01-16 21:25:13,8.4596,25.678,69.87,23,0,5.01
156,Evensk,RU,2021-01-16 21:28:44,61.95,159.2333,-19.07,76,8,11.16
157,Sao Jose Da Coroa Grande,BR,2021-01-16 21:28:44,-8.8978,-35.1478,78.82,72,16,8.34
158,Sanming,CN,2021-01-16 21:28:44,26.2486,117.6186,51.67,73,99,3.6
159,Torbay,CA,2021-01-16 21:28:44,47.6666,-52.7314,33.01,93,90,25.32
160,Kulachi,PK,2021-01-16 21:28:44,31.9286,70.4592,49.64,38,0,2.86
161,Poum,NC,2021-01-16 21:28:44,-20.2333,164.0167,81.93,79,100,3.33
162,Narsaq,GL,2021-01-16 21:28:45,60.9167,-46.05,17.6,57,67,8.05
163,Kuytun,RU,2021-01-16 21:28:45,54.3419,101.5036,-4.14,92,100,3.83
164,Bethel,US,2021-01-16 21:28:45,41.3712,-73.414,39.99,81,90,9.22
165,Atar,MR,2021-01-16 21:28:45,20.5169,-13.0499,65.55,18,100,15.12
166,Asau,RO,2021-01-16 21:28:45,46.4333,26.4,10.0,85,20,3.44
167,Harper,LR,2021-01-16 21:28:45,4.375,-7.7169,78.82,81,56,7.23
168,Sisimiut,GL,2021-01-16 21:28:45,66.9395,-53.6735,15.84,81,100,18.81
169,Vredendal,ZA,2021-01-16 21:28:45,-31.6683,18.5012,63.95,81,0,5.79
170,Alice Springs,AU,2021-01-16 21:25:06,-23.7,133.8833,68.0,42,75,9.22
171,Tiksi,RU,2021-01-16 21:28:45,71.6872,128.8694,-15.88,89,100,11.23
172,Mayo,US,2021-01-16 21:28:45,38.8876,-76.5119,46.0,45,90,11.5
173,Ipora,BR,2021-01-16 21:28:45,-16.4419,-51.1178,74.32,85,95,4.32
174,Necochea,AR,2021-01-16 21:28:45,-38.5473,-58.7368,66.99,75,100,16.46
175,Cururupu,BR,2021-01-16 21:28:46,-1.8283,-44.8683,80.91,72,63,4.92
176,Polunochnoye,RU,2021-01-16 21:28:46,60.8697,60.4153,-6.99,92,100,7.02
177,Horsham,GB,2021-01-16 21:28:46,51.064,-0.3272,45.0,87,75,8.05
178,Yulara,AU,2021-01-16 21:28:46,-25.2406,130.9889,64.4,63,100,8.05
179,Port Elizabeth,ZA,2021-01-16 21:28:46,-33.918,25.5701,68.0,83,75,19.57
180,Napier,NZ,2021-01-16 21:28:46,-39.4833,176.9167,78.01,50,63,5.01
181,Maragogi,BR,2021-01-16 21:28:46,-9.0122,-35.2225,78.67,72,24,8.23
182,Castro,BR,2021-01-16 21:28:46,-24.7911,-50.0119,72.27,89,84,5.99
183,Pangody,RU,2021-01-16 21:28:46,65.85,74.4859,-6.52,91,98,8.86
184,Hualmay,PE,2021-01-16 21:28:46,-11.0964,-77.6139,74.44,72,37,9.75
185,Brainerd,US,2021-01-16 21:28:47,46.358,-94.2008,23.0,80,90,10.36
186,Camocim,BR,2021-01-16 21:28:47,-2.9022,-40.8411,81.86,73,36,18.1
187,Galle,LK,2021-01-16 21:28:47,6.0367,80.217,75.51,86,100,6.08
188,Berlevag,NO,2021-01-16 21:28:47,70.8578,29.0864,35.6,84,100,17.2
189,Samana,DO,2021-01-16 21:28:47,19.2056,-69.3369,82.4,78,20,6.91
190,Tessalit,ML,2021-01-16 21:28:47,20.1986,1.0114,59.83,24,100,10.65
191,Tuatapere,NZ,2021-01-16 21:28:47,-46.1333,167.6833,70.0,50,91,15.01
192,Zhigansk,RU,2021-01-16 21:28:47,66.7697,123.3711,-35.61,82,100,6.13
193,Morondava,MG,2021-01-16 21:28:47,-20.2833,44.2833,83.93,70,31,1.97
194,Noshiro,JP,2021-01-16 21:28:47,40.2039,140.0242,28.63,96,98,9.84
195,Safita,SY,2021-01-16 21:28:47,34.8205,36.1153,59.0,82,90,11.5
196,Nanakuli,US,2021-01-16 21:28:47,21.3906,-158.1547,80.6,65,1,4.61
197,Khrebtovaya,RU,2021-01-16 21:28:48,56.7032,104.2494,-32.55,82,100,2.06
198,Flin Flon,CA,2021-01-16 21:28:48,54.7682,-101.865,28.4,80,90,12.66
